# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0000 -12.841796875 5.04495537607201058e-15 0 0 0 9.27714441536840782e-18
0001 -12.744140625 5.03393049895576593e-15 0 0 0 9.26128511082567861e-18
0002 -12.646484375 5.02276501995514643e-15 0 0 0 9.24528655136938731e-18
0003 -12.548828125 5.01145587117298602e-15 0 0 0 9.22914635392523113e-18
0004 -12.451171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0005 -12.353515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0006 -12.255859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0007 -12.158203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0008 -12.060546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0009 -11.962890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0010 -11.865234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0011 -11.767578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0012 -11.669921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0013 -11.572265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0014 -11.474609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0015 -11.376953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0016 -11.279296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0017 -11.181640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0018 -11.083984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0019 -10.986328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0020 -10.888671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0021 -10.791015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0022 -10.693359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0023 -10.595703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0024 -10.498046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0025 -10.400390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0026 -10.302734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0027 -10.205078125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0028 -10.107421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0029 -10.009765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0030 -9.912109375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0031 -9.814453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0032 -9.716796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0033 -9.619140625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0034 -9.521484375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0035 -9.423828125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0036 -9.326171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0037 -9.228515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0038 -9.130859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0039 -9.033203125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0040 -8.935546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0041 -8.837890625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0042 -8.740234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0043 -8.642578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0044 -8.544921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0045 -8.447265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0046 -8.349609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0047 -8.251953125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0048 -8.154296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0049 -8.056640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0050 -7.958984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0051 -7.861328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0052 -7.763671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0053 -7.666015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0054 -7.568359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0055 -7.470703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0056 -7.373046875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0057 -7.275390625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0058 -7.177734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0059 -7.080078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0060 -6.982421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0061 -6.884765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0062 -6.787109375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0063 -6.689453125 1.96365655441020603e-09 0 0 0 8.86252955904504445e-13
0064 -6.591796875 4.56909382134135596e-08 0 0 0 4.73204123229835752e-11
0065 -6.494140625 2.47698988985136597e-07 0 0 0 4.17473121322876968e-10
0066 -6.396484375 1.91330653449268576e-06 0 0 0 2.36834846649893531e-09
0067 -6.298828125 3.74864841648801848e-05 0 0 0 4.48342724800929577e-08
0068 -6.201171875 9.82906686463637911e-05 0 0 0 2.74719323680671382e-07
0069 -6.103515625 0.000150471574586091085 0 0 0 6.92110151843793033e-07
0070 -6.005859375 0.000197077145393562109 0 0 0 1.29198834892021782e-06
0071 -5.908203125 0.000245126358873234485 0 0 0 2.0722411132896859e-06
0072 -5.810546875 0.000294471346929472651 0 0 0 3.04536269595174992e-06
0073 -5.712890625 0.000343386691423833656 0 0 0 4.22353753334276541e-06
0074 -5.615234375 0.000390067150888257093 0 0 0 5.59843925782113073e-06
0075 -5.517578125 0.000433368961676231976 0 0 0 7.17734071423994238e-06
0076 -5.419921875 0.000473046335574622042 0 0 0 8.94184136944892928e-06
0077 -5.322265625 0.000509446038115532961 0 0 0 1.08910231919844246e-05
0078 -5.224609375 0.000543122654593174419 0 0 0 1.30160989559338948e-05
0079 -5.126953125 0.00057451290301197271 0 0 0 1.52822649177009425e-05
0080 -5.029296875 0.00060393332540636664 0 0 0 1.77155657727652419e-05
0081 -4.931640625 0.000631831500788880649 0 0 0 2.02848045153832245e-05
0082 -4.833984375 0.000658314412700820363 0 0 0 2.30031069948685381e-05
0083 -4.736328125 0.000683696248262018929 0 0 0 2.58359478934860904e-05
0084 -4.638671875 0.000708061668425042918 0 0 0 2.8824203078734439e-05
0085 -4.541015625 0.000731529336608897299 0 0 0 3.19170471618655718e-05
0086 -4.443359375 0.000754277566311069248 0 0 0 3.51315270284651533e-05
0087 -4.345703125 0.000776291028820904456 0 0 0 3.84627587059696037e-05
0088 -4.248046875 0.000797657274123182171 0 0 0 4.18962711038821684e-05
0089 -4.150390625 0.000818480139627395919 0 0 0 4.54382796255703531e-05
0090 -4.052734375 0.000838764967640639038 0 0 0 4.90705173204200926e-05
0091 -3.955078125 0.000858508828108138825 0 0 0 5.27909418462451882e-05
0092 -3.857421875 0.000877776561469859138 0 0 0 5.66026204440327234e-05
0093 -3.759765625 0.00089661669921317546 0 0 0 6.05070040451728968e-05
0094 -3.662109375 0.000915020100475863094 0 0 0 6.44593462926911648e-05
0095 -3.564453125 0.000932963723940697298 0 0 0 6.84751715458517128e-05
0096 -3.466796875 0.000950481336618096227 0 0 0 7.25561395730705232e-05
0097 -3.369140625 0.0009675982828003636 0 0 0 7.67001231022384393e-05
0098 -3.271484375 0.000984333045716121206 0 0 0 8.09039817847205463e-05
0099 -3.173828125 0.0010006620728158261 0 0 0 8.51002358215268518e-05
0100 -3.076171875 0.00101656137984060648 0 0 0 8.93247140615694769e-05
0101 -2.978515625 0.00103204511408298057 0 0 0 9.35727022377982979e-05
0102 -2.880859375 0.00104712286890243172 0 0 0 9.78381205255073744e-05
0103 -2.783203125 0.0010618004887036766 0 0 0 0.000102114332077448552
0104 -2.685546875 0.00107608071113955922 0 0 0 0.000106393921500605663
0105 -2.587890625 0.00108994960955812012 0 0 0 0.000110621498836487047
0106 -2.490234375 0.00110337370963922905 0 0 0 0.00011480447049601653
0107 -2.392578125 0.00111635389067913727 0 0 0 0.000118948534105314257
0108 -2.294921875 0.00112889042760981671 0 0 0 0.00012304487114123556
0109 -2.197265625 0.00114098165527001826 0 0 0 0.000127084129177801585
0110 -2.099609375 0.00115262429914438167 0 0 0 0.000131056487715834868
0111 -2.001953125 0.00116381375428633964 0 0 0 0.000134951722208171185
0112 -1.904296875 0.00117454432499298177 0 0 0 0.000138759273702778884
0113 -1.806640625 0.00118480931603410253 0 0 0 0.000142463792088328963
0114 -1.708984375 0.00119458780367075407 0 0 0 0.000146012456562415936
0115 -1.611328125 0.00120386541846358706 0 0 0 0.000149433233141782902
0116 -1.513671875 0.00121263765871651636 0 0 0 0.000152716297286796288
0117 -1.416015625 0.00122089944884191687 0 0 0 0.000155851851133747692
0118 -1.318359375 0.00122864530767526894 0 0 0 0.000158830205009001253
0119 -1.220703125 0.00123586949842995151 0 0 0 0.000161641857301734993
0120 -1.123046875 0.00124256616330236844 0 0 0 0.000164277573745874459
0121 -1.025390625 0.00124872944489882835 0 0 0 0.000166728468671774289
0122 -0.927734375 0.00125435359604502816 0 0 0 0.000168986078507880736
0123 -0.830078125 0.00125943307908038126 0 0 0 0.000171042437304371066
0124 -0.732421875 0.00126396265539579231 0 0 0 0.000172890147843105224
0125 -0.634765625 0.00126793746569876429 0 0 0 0.000174522448705840205
0126 -0.537109375 0.00127135310130281382 0 0 0 0.000175933276478479431
0127 -0.439453125 0.00127420566658893232 0 0 0 0.000177117322281295853
0128 -0.341796875 0.00127649183268718704 0 0 0 0.000178070081854151991
0129 -0.244140625 0.00127820888236118094 0 0 0 0.000178787898487667562
0130 -0.146484375 0.0012793547460610477 0 0 0 0.000179267998182562448
0131 -0.048828125 0.00127992802961651372 0 0 0 0.000179508516739424623
0132 0.048828125 0.00127992802961651372 0 0 0 0.000179508516739424623
0133 0.146484375 0.0012793547460610477 0 0 0 0.000179267998182562448
0134 0.244140625 0.00127820888236118094 0 0 0 0.000178787898487667562
0135 0.341796875 0.00127649183268718704 0 0 0 0.000178070081854151991
0136 0.439453125 0.00127420566658893232 0 0 0 0.000177117322281295853
0137 0.537109375 0.00127135310130281382 0 0 0 0.000175933276478479431
0138 0.634765625 0.00126793746569876429 0 0 0 0.000174522448705840205
0139 0.732421875 0.00126396265539579231 0 0 0 0.000172890147843105224
0140 0.830078125 0.00125943307908038126 0 0 0 0.000171042437304371066
0141 0.927734375 0.00125435359604502816 0 0 0 0.000168986078507880736
0142 1.025390625 0.00124872944489882835 0 0 0 0.000166728468671774289
0143 1.123046875 0.00124256616330236844 0 0 0 0.000164277573745874459
0144 1.220703125 0.00123586949842995151 0 0 0 0.000161641857301734993
0145 1.318359375 0.00122864530767526894 0 0 0 0.000158830205009001253
0146 1.416015625 0.00122089944884191687 0 0 0 0.000155851851133747692
0147 1.513671875 0.00121263765871651636 0 0 0 0.000152716297286796288
0148 1.611328125 0.00120386541846358706 0 0 0 0.000149433233141782902
0149 1.708984375 0.00119458780367075407 0 0 0 0.000146012456562415936
0150 1.806640625 0.00118480931603410253 0 0 0 0.000142463792088328963
0151 1.904296875 0.00117454432499298177 0 0 0 0.000138759273702778884
0152 2.001953125 0.00116381375428633964 0 0 0 0.000134951722208171185
0153 2.099609375 0.00115262429914438167 0 0 0 0.000131056487715834868
0154 2.197265625 0.00114098165527001826 0 0 0 0.000127084129177801585
0155 2.294921875 0.00112889042760981671 0 0 0 0.00012304487114123556
0156 2.392578125 0.00111635389067913727 0 0 0 0.000118948534105314257
0157 2.490234375 0.00110337370963922905 0 0 0 0.00011480447049601653
0158 2.587890625 0.00108994960955812012 0 0 0 0.000110621498836487047
0159 2.685546875 0.00107608071113955922 0 0 0 0.000106393921500605663
0160 2.783203125 0.0010618004887036766 0 0 0 0.000102114332077448552
0161 2.880859375 0.00104712286890243172 0 0 0 9.78381205255073744e-05
0162 2.978515625 0.00103204511408298057 0 0 0 9.35727022377982979e-05
0163 3.076171875 0.00101656137984060648 0 0 0 8.93247140615694769e-05
0164 3.173828125 0.0010006620728158261 0 0 0 8.51002358215268518e-05
0165 3.271484375 0.000984333045716121206 0 0 0 8.09039817847205463e-05
0166 3.369140625 0.0009675982828003636 0 0 0 7.67001231022384393e-05
0167 3.466796875 0.000950481336618096227 0 0 0 7.25561395730705232e-05
0168 3.564453125 0.000932963723940697298 0 0 0 6.84751715458517128e-05
0169 3.662109375 0.000915020100475863094 0 0 0 6.44593462926911648e-05
0170 3.759765625 0.00089661669921317546 0 0 0 6.05070040451728968e-05
0171 3.857421875 0.000877776561469859138 0 0 0 5.66026204440327234e-05
0172 3.955078125 0.000858508828108138825 0 0 0 5.27909418462451882e-05
0173 4.052734375 0.000838764967640639038 0 0 0 4.90705173204200926e-05
0174 4.150390625 0.000818480139627395919 0 0 0 4.54382796255703531e-05
0175 4.248046875 0.000797657274123182171 0 0 0 4.18962711038821684e-05
0176 4.345703125 0.000776291028820904456 0 0 0 3.84627587059696037e-05
0177 4.443359375 0.000754277566311069248 0 0 0 3.51315270284651533e-05
0178 4.541015625 0.000731529336608897299 0 0 0 3.19170471618655718e-05
0179 4.638671875 0.000708061668425042918 0 0 0 2.8824203078734439e-05
0180 4.736328125 0.000683696248262018929 0 0 0 2.58359478934860904e-05
0181 4.833984375 0.000658314412700820363 0 0 0 2.30031069948685381e-05
0182 4.931640625 0.000631831500788880649 0 0 0 2.02848045153832245e-05
0183 5.029296875 0.00060393332540636664 0 0 0 1.77155657727652419e-05
0184 5.126953125 0.00057451290301197271 0 0 0 1.52822649177009425e-05
0185 5.224609375 0.000543122654593174419 0 0 0 1.30160989559338948e-05
0186 5.322265625 0.000509446038115532961 0 0 0 1.08910231919844246e-05
0187 5.419921875 0.000473046335574622042 0 0 0 8.94184136944892928e-06
0188 5.517578125 0.000433368961676231976 0 0 0 7.17734071423994238e-06
0189 5.615234375 0.000390067150888257093 0 0 0 5.59843925782113073e-06
0190 5.712890625 0.000343386691423833656 0 0 0 4.22353753334276541e-06
0191 5.810546875 0.000294471346929472651 0 0 0 3.04536269595174992e-06
0192 5.908203125 0.000245126358873234485 0 0 0 2.0722411132896859e-06
0193 6.005859375 0.000197077145393562109 0 0 0 1.29198834892021782e-06
0194 6.103515625 0.000150471574586091085 0 0 0 6.92110151843793033e-07
0195 6.201171875 9.82906686463637911e-05 0 0 0 2.74719323680671382e-07
0196 6.298828125 3.74864841648801848e-05 0 0 0 4.48342724800929577e-08
0197 6.396484375 1.91330653449268576e-06 0 0 0 2.36834846649893531e-09
0198 6.494140625 2.47698988985136597e-07 0 0 0 4.17473121322876968e-10
0199 6.591796875 4.56909382134135596e-08 0 0 0 4.73204123229835752e-11
0200 6.689453125 1.96365655441020603e-09 0 0 0 8.86252955904504445e-13
0201 6.787109375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0202 6.884765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0203 6.982421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0204 7.080078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0205 7.177734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0206 7.275390625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0207 7.373046875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0208 7.470703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0209 7.568359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0210 7.666015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0211 7.763671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0212 7.861328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0213 7.958984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0214 8.056640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0215 8.154296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0216 8.251953125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0217 8.349609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0218 8.447265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0219 8.544921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0220 8.642578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0221 8.740234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0222 8.837890625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0223 8.935546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0224 9.033203125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0225 9.130859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0226 9.228515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0227 9.326171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0228 9.423828125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0229 9.521484375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0230 9.619140625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0231 9.716796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0232 9.814453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0233 9.912109375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0234 10.009765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0235 10.107421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0236 10.205078125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0237 10.302734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0238 10.400390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0239 10.498046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0240 10.595703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0241 10.693359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0242 10.791015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0243 10.888671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0244 10.986328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0245 11.083984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0246 11.181640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0247 11.279296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0248 11.376953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0249 11.474609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0250 11.572265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0251 11.669921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0252 11.767578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0253 11.865234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0254 11.962890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0255 12.060546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0256 12.158203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0257 12.255859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0258 12.353515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0259 12.451171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0260 12.548828125 5.01145587117298602e-15 0 0 0 9.22914635392523113e-18
0261 12.646484375 5.02276501995514643e-15 0 0 0 9.24528655136938731e-18
0262 12.744140625 5.03393049895576593e-15 0 0 0 9.26128511082567861e-18
0263 12.841796875 5.04495537607201058e-15 0 0 0 9.27714441536840782e-18
