# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0036 -10.9130859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0037 -10.8642578125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0038 -10.8154296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0039 -10.7666015625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0040 -10.7177734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0041 -10.6689453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0042 -10.6201171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0043 -10.5712890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0044 -10.5224609375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0045 -10.4736328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0046 -10.4248046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0047 -10.3759765625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0048 -10.3271484375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0049 -10.2783203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0050 -10.2294921875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0051 -10.1806640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0052 -10.1318359375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0053 -10.0830078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0054 -10.0341796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0055 -9.9853515625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0056 -9.9365234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0057 -9.8876953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0058 -9.8388671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0059 -9.7900390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0060 -9.7412109375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0061 -9.6923828125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0062 -9.6435546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0063 -9.5947265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0064 -9.5458984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0065 -9.4970703125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0066 -9.4482421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0067 -9.3994140625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0068 -9.3505859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0069 -9.3017578125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
