# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0000 -13.18359375 5.08839505527196346e-15 0 0 0 9.34024161940008491e-18
0001 -12.98828125 5.06711161516867593e-15 0 0 0 9.30920471937315648e-18
0002 -12.79296875 5.04530218488711614e-15 0 0 0 9.2776443075492606e-18
0003 -12.59765625 5.02294036495729527e-15 0 0 0 9.24553730810143429e-18
0004 -12.40234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0005 -12.20703125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0006 -12.01171875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0007 -11.81640625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0008 -11.62109375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0009 -11.42578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0010 -11.23046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0011 -11.03515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0012 -10.83984375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0013 -10.64453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0014 -10.44921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0015 -10.25390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0016 -10.05859375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0017 -9.86328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0018 -9.66796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0019 -9.47265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0020 -9.27734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0021 -9.08203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0022 -8.88671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0023 -8.69140625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0024 -8.49609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0025 -8.30078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0026 -8.10546875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0027 -7.91015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0028 -7.71484375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0029 -7.51953125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0030 -7.32421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0031 -7.12890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0032 -6.93359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0033 -6.73828125 2.9823044925541654e-11 0 0 0 3.37497039775169398e-15
0034 -6.54296875 1.11955389990307558e-07 0 0 0 1.56387839576729363e-10
0035 -6.34765625 1.00745634241785287e-05 0 0 0 1.03756962321928112e-08
0036 -6.15234375 0.000125145850665956115 0 0 0 4.58120443117840753e-07
0037 -5.95703125 0.000220819091554076414 0 0 0 1.65783174431367683e-06
0038 -5.76171875 0.000319096466685092638 0 0 0 3.6089192732980313e-06
0039 -5.56640625 0.000412163514780110362 0 0 0 6.36895100807882708e-06
